repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
developmentseed/stac-map,77,10,2025-05-19T17:37:38Z,2026-03-10T12:01:47Z,362,https://github.com/developmentseed/stac-map,"A map-first STAC search and visualization tool, with stac-geoparquet support","TypeScript,HTML,JavaScript",4,35,MIT,"stac,stac-geoparquet",True,False,main,False,11,6,5,0.455
developmentseed/moz-proenergia-backend,0,0,2025-12-01T20:18:51Z,2026-03-09T18:18:23Z,183,https://github.com/developmentseed/moz-proenergia-backend,Mozambique PROENERGIA+ backend,"Python,Shell",1,17,,,False,True,main,False,3,3,0,0.0
developmentseed/titiler-cmr,22,6,2024-01-16T17:47:13Z,2026-02-19T16:23:23Z,346,https://github.com/developmentseed/titiler-cmr,Dynamic tiles from CMR queries,"Python,HTML,Dockerfile",6,29,MIT,,True,True,develop,False,7,6,1,0.143
developmentseed/titiler,1068,222,2019-06-28T16:54:56Z,2026-03-10T12:41:39Z,926,https://github.com/developmentseed/titiler,Build your own Raster dynamic map tile services,"Python,HTML,Jupyter Notebook,Dockerfile,Mustache,Shell",19,27,MIT,"fastapi,cog,aws-cdk,aws-lambda,stac,cogeotiff,mosaicjson,raster,dynamic,server,rest,gdal,rasterio,tile,map-tile-server,map-tiles",True,False,main,False,77,14,63,0.818
developmentseed/deck.gl-raster,147,10,2025-12-04T20:23:44Z,2026-03-10T16:26:54Z,171,https://github.com/developmentseed/deck.gl-raster,"Client-side, GPU-accelerated Cloud-Optimized GeoTIFF visualization in deck.gl","TypeScript,Python",5,81,MIT,"cloud-optimized-geotiff,deck-gl,geospatial-visualization,geotiff,raster,zarr,webgl2",False,True,main,False,4,2,2,0.5
developmentseed/geojson-pydantic,278,39,2020-05-21T22:29:07Z,2026-03-05T04:45:51Z,324,https://github.com/developmentseed/geojson-pydantic,Pydantic data models for the GeoJSON spec,Python,12,6,MIT,"geojson,pydantic,geojson-spec",True,False,main,False,20,2,18,0.9
developmentseed/eoapi-cdk,27,7,2022-10-04T21:12:48Z,2026-03-04T17:27:13Z,245,https://github.com/developmentseed/eoapi-cdk,AWS CDK constructs for deploying eoAPI,"Python,TypeScript,Shell,Dockerfile",3,28,MIT,"cdk,eoapi,iac",True,True,main,False,12,9,3,0.25
developmentseed/osm-seed,161,37,2018-05-04T10:49:36Z,2025-10-02T15:09:00Z,966,https://github.com/developmentseed/osm-seed,A collection of Dockerfiles to run a containerized version of OpenStreetMap,"Shell,PLpgSQL,Dockerfile,Python,C,HTML,JavaScript,Mustache,Makefile,Ruby",0,0,,,False,False,main,False,0,0,0,0.0
developmentseed/pixelverse,27,0,2025-10-16T20:11:49Z,2026-02-27T02:42:50Z,67,https://github.com/developmentseed/pixelverse,Cloud Native Toolings to Access + Generate Geospatial Embeddings,"Jupyter Notebook,Python",2,16,MIT,,False,False,main,False,3,2,1,0.333
developmentseed/cql2-rs,21,2,2024-07-15T14:18:59Z,2026-03-04T08:30:44Z,205,https://github.com/developmentseed/cql2-rs,Rust library and Python bindings for parsing the OGC CQL2 filter language,"Rust,JavaScript,Python,Shell",5,8,MIT,,False,False,main,False,8,5,3,0.375
developmentseed/rio-stac,91,20,2020-05-08T17:34:30Z,2026-02-16T19:11:17Z,174,https://github.com/developmentseed/rio-stac,Create STAC item from raster datasets,Python,11,8,MIT,,False,False,main,False,10,3,7,0.7
developmentseed/morecantile,154,30,2020-01-23T21:12:58Z,2026-02-16T08:44:11Z,544,https://github.com/developmentseed/morecantile,Construct and use OGC TileMatrixSets (TMS),Python,8,7,MIT,,True,False,main,False,13,4,9,0.692
developmentseed/eoAPI,298,27,2021-08-11T21:36:09Z,2026-03-06T12:16:54Z,346,https://github.com/developmentseed/eoAPI,"[Active Development] Earth Observation API (Metadata, Raster and Vector services)","Shell,Makefile,JavaScript",10,19,MIT,eoapi,True,False,main,False,20,13,7,0.35
developmentseed/openeo-udp,0,0,2025-11-17T14:32:59Z,2026-02-26T14:04:33Z,14,https://github.com/developmentseed/openeo-udp,A collection of User-Defined Processes for OpenEO,"Jupyter Notebook,Python",1,16,MIT,,False,False,main,False,4,3,1,0.25
developmentseed/eoapi-k8s,27,14,2023-06-07T13:38:32Z,2026-03-10T12:46:27Z,723,https://github.com/developmentseed/eoapi-k8s,eoAPI Kubernetes deployments with helm charts.,"Python,Shell,Go Template,PLpgSQL",5,4,MIT,"eoapi,earth-observation,gis,kubernetes",True,False,main,False,20,8,12,0.6
developmentseed/eo-predictor,20,0,2025-07-24T12:29:14Z,2026-03-10T03:04:19Z,295,https://github.com/developmentseed/eo-predictor,Predicts and visualizes upcoming potential EO images,"TypeScript,Python,CSS,HTML,JavaScript",0,8,MIT,,True,False,main,False,6,4,2,0.333
developmentseed/stac-auth-proxy,38,5,2024-11-28T16:55:02Z,2026-03-09T05:05:05Z,281,https://github.com/developmentseed/stac-auth-proxy,Reverse proxy to mediate communication between a client and an internally accessible STAC API in order to provide a flexible authentication mechanism.,"Python,Makefile,Go Template,Dockerfile",5,16,MIT,,True,False,main,False,7,4,3,0.429
developmentseed/obstore,711,31,2024-10-17T19:46:34Z,2026-03-10T19:21:49Z,350,https://github.com/developmentseed/obstore,"The simplest, highest-throughput Python interface to S3, GCS & Azure Storage, powered by Rust.","Python,Rust",9,52,MIT,"azure,google-cloud-storage,object-store,python,rust,s3,cloudflare-r2,amazon-s3,azure-storage",True,True,main,False,20,8,12,0.6
developmentseed/tipg,200,36,2022-10-05T16:03:59Z,2026-02-26T16:40:27Z,735,https://github.com/developmentseed/tipg,Simple and Fast Geospatial OGC Features and Tiles API for PostGIS.,"PLpgSQL,Python,HTML,Shell,Dockerfile",8,30,MIT,,True,False,main,False,17,6,11,0.647
developmentseed/lonboard,917,50,2023-08-31T21:48:10Z,2026-03-07T21:14:12Z,573,https://github.com/developmentseed/lonboard,"A Python library for fast, interactive geospatial data visualization in Jupyter.","Python,TypeScript,JavaScript,CSS",13,118,MIT,"anywidget,apache-arrow,deck-gl,geoarrow,geopandas,jupyter,jupyter-widget,map-visualization,data-visualization,geospatial-analysis,maps,python,visualization,webgl,geoparquet,apache-parquet,parquet,geospatial,lonboard",True,True,main,False,25,8,17,0.68
developmentseed/geotiff-test-data,5,2,2026-01-23T03:38:04Z,2026-03-05T23:37:48Z,36,https://github.com/developmentseed/geotiff-test-data,Test data for geotiff parsers,"Python,Shell",2,7,MIT,,False,True,main,False,6,5,1,0.167
developmentseed/async-tiff,111,7,2024-08-15T19:01:05Z,2026-03-06T01:43:19Z,171,https://github.com/developmentseed/async-tiff,Async TIFF reader for Rust and Python,"Rust,Python,HTML,CSS",6,26,MIT,,True,True,main,False,8,5,3,0.375
developmentseed/osm-teams,29,4,2018-10-23T18:47:28Z,2025-01-25T19:24:31Z,1164,https://github.com/developmentseed/osm-teams,Teams for OpenStreetMap! ,JavaScript,28,96,MIT,"openstreetmap,osm-teams,collaboration,analytics,oauth2",False,True,develop,False,7,4,3,0.429
developmentseed/rio-viz,163,19,2019-04-23T20:15:55Z,2026-02-28T05:21:31Z,131,https://github.com/developmentseed/rio-viz,Visualize Cloud Optimized GeoTIFF in browser,"HTML,Python",9,3,MIT,,False,False,main,False,3,1,2,0.667
stac-utils/pgstac,201,50,2021-03-09T16:34:19Z,2026-03-05T22:23:02Z,232,https://github.com/stac-utils/pgstac,"Schema, functions and a python library for storing and accessing STAC collections and items in PostgreSQL","PLpgSQL,Python,Shell,Dockerfile",14,75,MIT,"postgis,stac,sql",True,True,main,False,22,9,13,0.591
stac-utils/stac-fastapi-pgstac,93,49,2022-07-28T01:48:07Z,2026-03-04T18:45:15Z,402,https://github.com/stac-utils/stac-fastapi-pgstac,PostgreSQL backend for stac-fastapi using pgstac (https://github.com/stac-utils/pgstac),"Python,Shell,Makefile,Dockerfile",9,38,MIT,,True,False,main,False,43,8,35,0.814
stac-utils/stac-fastapi,307,116,2020-06-17T03:31:20Z,2026-02-26T12:23:55Z,513,https://github.com/stac-utils/stac-fastapi,STAC API implementation with FastAPI. ,"Python,Shell,Dockerfile,Makefile",14,41,MIT,,True,False,main,False,52,6,46,0.885
stac-utils/pystac-client,196,59,2021-03-03T03:33:04Z,2026-02-27T11:15:56Z,1049,https://github.com/stac-utils/pystac-client,Python client for searching STAC APIs,"Python,Shell",7,25,NOASSERTION,"stac,geospatial,python",False,False,main,False,38,4,34,0.895
stac-utils/rustac,132,21,2021-03-29T17:08:13Z,2026-03-10T17:19:14Z,1113,https://github.com/stac-utils/rustac,The power of Rust for the STAC ecosystem,"Rust,Shell,JavaScript,Python,TypeScript,HTML",3,30,Apache-2.0,"geospatial,raster,stac,command-line,earth-observation,metadata,rust,python,server",True,False,main,False,13,4,9,0.692
stac-utils/pystac,435,129,2017-11-08T13:30:15Z,2026-03-10T03:29:19Z,2181,https://github.com/stac-utils/pystac,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell",23,70,NOASSERTION,,False,False,main,False,69,7,62,0.899
hotosm/tasking-manager,577,289,2017-02-02T14:31:35Z,2026-03-09T19:59:08Z,6520,https://github.com/hotosm/tasking-manager,Tasking Manager - The tool to team up for mapping in OpenStreetMap,"Python,JavaScript,HCL,Jupyter Notebook,HTML,SCSS,Shell,Dockerfile,PLpgSQL,Makefile,CSS,Mako,PowerShell",32,453,BSD-2-Clause,"openstreetmap,python,javascript,reactjs,postgresql,postgis,fastapi",True,False,develop,False,115,3,112,0.974
hotosm/openaerialmap,295,37,2014-06-26T13:58:44Z,2026-03-10T01:05:49Z,220,https://github.com/hotosm/openaerialmap,OpenAerialMap is an open service to provide access to a commons of openly licensed imagery and map layer services.,"Jupyter Notebook,Python,TypeScript,JavaScript,Just,Shell,Dockerfile,Go Template,HTML",42,36,AGPL-3.0,,True,True,main,False,20,5,15,0.75
sentinel-hub/titiler-openeo,30,3,2024-10-30T12:33:56Z,2026-03-04T04:59:22Z,382,https://github.com/sentinel-hub/titiler-openeo,openEO by TiTiler,"Python,Dockerfile,Mustache",6,15,MIT,"openeo,rasterio,stac,titiler",True,False,main,False,9,5,4,0.444
GenericMappingTools/pygmt,846,240,2017-03-17T20:31:51Z,2026-03-10T17:00:40Z,3245,https://github.com/GenericMappingTools/pygmt,A Python interface for the Generic Mapping Tools.,"Python,Makefile",27,184,BSD-3-Clause,"python,geoscience,earth-science,geophysics,maps,seismology,hacktoberfest",False,False,main,False,51,3,48,0.941
zarr-developers/zarr-python,1933,387,2015-12-15T14:49:40Z,2026-03-10T02:16:02Z,2782,https://github.com/zarr-developers/zarr-python,"An implementation of chunked, compressed, N-dimensional arrays for Python.",Python,39,569,MIT,"zarr,ndimensional-arrays,compressed,python",True,False,main,False,152,2,150,0.987
zarr-developers/VirtualiZarr,268,58,2024-03-08T19:24:24Z,2026-03-10T20:46:35Z,531,https://github.com/zarr-developers/VirtualiZarr,"Cloud-Optimize your Scientific Data as Virtual Zarr stores, using xarray syntax.",Python,12,175,Apache-2.0,,True,False,main,False,35,4,31,0.886
NASA-IMPACT/veda-backend,22,7,2021-12-06T22:40:27Z,2026-03-09T17:37:57Z,1280,https://github.com/NASA-IMPACT/veda-backend,Backend services for VEDA,"Python,HTML,Shell,Dockerfile",22,69,NOASSERTION,,False,True,develop,False,20,12,8,0.4
NASA-IMPACT/veda-ui,39,14,2021-12-06T22:35:36Z,2026-02-16T15:15:01Z,4547,https://github.com/NASA-IMPACT/veda-ui,Frontend for the Dashboard Evolution project,"TypeScript,JavaScript,MDX,SCSS,Shell,HTML,CSS",21,126,NOASSERTION,,False,True,main,False,29,12,17,0.586
NASA-IMPACT/veda-data-airflow,13,5,2023-02-01T18:26:15Z,2026-03-09T18:19:18Z,1299,https://github.com/NASA-IMPACT/veda-data-airflow,Airflow implementation of ingest pipeline for VEDA STAC data,"Python,HCL,Dockerfile,Shell,Go Template,Makefile",19,54,NOASSERTION,,False,True,dev,False,21,8,13,0.619
NASA-IMPACT/veda-deploy,0,1,2023-06-15T17:44:43Z,2025-12-12T16:26:57Z,553,https://github.com/NASA-IMPACT/veda-deploy,"This is a virtual repo that's created to deploy all the VEDA services (veda-backend, veda-auth, veda-stac-ingestor, veda-data-airflow) at once. It makes use of sub modules, composite actions within the other repos and github workflows for the deployment. It also takes care of the dependency between the deployments and runs them in proper order.",Python,17,20,,,False,True,dev,False,13,7,6,0.462
NASA-IMPACT/veda-config,35,47,2021-12-06T22:38:21Z,2026-01-27T08:31:48Z,3024,https://github.com/NASA-IMPACT/veda-config,Configuration template for the Dashboard Evolution Project,"MDX,TypeScript,JavaScript,SCSS,HTML,Shell",21,42,NOASSERTION,,False,True,develop,False,48,18,30,0.625
NASA-IMPACT/veda-odd,3,0,2024-10-15T20:26:16Z,2026-02-18T14:33:26Z,38,https://github.com/NASA-IMPACT/veda-odd,,Python,16,42,NOASSERTION,,False,True,main,False,3,2,1,0.333
NASA-IMPACT/veda-keycloak,7,3,2024-10-16T16:51:26Z,2026-03-09T22:33:30Z,197,https://github.com/NASA-IMPACT/veda-keycloak,,"Python,Java,Dockerfile,Shell,CSS",17,58,,"auth,keycloak",False,False,main,False,14,8,6,0.429
NASA-IMPACT/csda-client,8,2,2020-05-11T18:27:35Z,2026-02-26T16:20:04Z,131,https://github.com/NASA-IMPACT/csda-client,A Python API client for CSDA,Python,12,3,MIT,,False,False,main,False,12,4,8,0.667
ecmwf/qubed,10,1,2024-10-08T10:48:05Z,2026-02-05T22:35:29Z,364,https://github.com/ecmwf/qubed,A data structure for efficiently representing and querying complex-tree datacubes.,"Python,Rust,JavaScript,CSS,HTML,Shell",11,19,Apache-2.0,,False,False,main,False,6,1,5,0.833
ecmwf/polytope-client,0,0,2021-10-01T09:10:25Z,2025-10-22T17:14:37Z,72,https://github.com/ecmwf/polytope-client,,Python,12,1,Apache-2.0,polytope,False,True,main,False,3,0,3,1.0
osm-seed/osm-seed,173,39,2018-05-04T10:49:36Z,2026-03-06T16:44:16Z,988,https://github.com/osm-seed/osm-seed,A collection of Dockerfiles to run a containerized version of OpenStreetMap,"Shell,PLpgSQL,Dockerfile,Python,HTML,JavaScript,Mustache",30,24,MIT,"docker,nominatim,openstreetmap,overpass,tasking-manager",False,True,develop,False,9,3,6,0.667
EOEPCA/demo,1,5,2021-03-31T08:31:35Z,2026-01-28T12:31:02Z,413,https://github.com/EOEPCA/demo,Demonstration of Common Architecture building blocks,"Jupyter Notebook,Python,Common Workflow Language,Shell,Dockerfile",26,0,Apache-2.0,,False,True,main,False,19,2,17,0.895
EOEPCA/data-access,1,0,2024-06-13T13:37:29Z,2025-08-04T08:22:46Z,38,https://github.com/EOEPCA/data-access,EOEPCA+ Data Access BB,,5,23,Apache-2.0,,True,False,main,False,5,2,3,0.6
EOEPCA/resource-discovery,0,0,2024-06-18T08:49:02Z,2026-01-14T14:45:11Z,57,https://github.com/EOEPCA/resource-discovery,Resource Discovery,Dockerfile,4,62,Apache-2.0,,True,True,main,False,4,1,3,0.75
EOEPCA/eoepca-plus,6,8,2024-05-17T09:07:28Z,2026-03-10T12:17:27Z,1797,https://github.com/EOEPCA/eoepca-plus,EOEPCA+ deployments for development team,"Python,Shell",24,2,Apache-2.0,,False,True,deploy-develop,False,34,5,29,0.853
radiantearth/stac-spec,883,189,2017-05-10T15:25:31Z,2026-03-06T06:44:00Z,3222,https://github.com/radiantearth/stac-spec,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,JavaScript,73,40,Apache-2.0,"satellites,satellite-imagery,earth-observation,earth-observation-catalogue",True,False,master,False,57,4,53,0.93
radiantearth/stac-api-spec,266,54,2020-03-02T16:21:32Z,2026-03-05T22:23:02Z,2790,https://github.com/radiantearth/stac-api-spec,SpatioTemporal Asset Catalog API specification - an API to make geospatial assets openly searchable and crawlable,"JavaScript,HTML,Shell",19,35,Apache-2.0,"ogc-api,stac-api,spatiotemporal-asset-catalog",True,True,release/v1.0.0,False,45,3,42,0.933
pydata/xarray,4111,1239,2013-09-30T17:21:10Z,2026-03-10T21:04:31Z,6377,https://github.com/pydata/xarray,N-D labeled arrays and datasets in Python,"Python,CSS,HTML,Dockerfile",99,1346,Apache-2.0,"python,netcdf,numpy,pandas,xarray,dask",True,False,main,False,415,7,408,0.983
wri/project-zeno-next,2,3,2025-05-13T12:48:35Z,2026-03-09T10:44:12Z,990,https://github.com/wri/project-zeno-next,,"TypeScript,CSS,JavaScript",5,69,,,False,True,develop,False,13,11,2,0.154
wri/project-zeno-deploy,3,0,2024-11-04T14:57:53Z,2026-03-04T12:43:50Z,523,https://github.com/wri/project-zeno-deploy,Find Zeno's cloud deploy code here!,HCL,7,17,MIT,,False,True,develop,False,7,6,1,0.143
MAAP-Project/maap-documentation,14,16,2020-01-22T16:39:38Z,2026-03-06T20:43:47Z,1553,https://github.com/MAAP-Project/maap-documentation,,,8,41,Apache-2.0,,False,True,develop,False,24,6,18,0.75
MAAP-Project/maap-eoapi,3,2,2023-04-03T07:06:03Z,2026-02-20T13:33:25Z,163,https://github.com/MAAP-Project/maap-eoapi,MAAP STAC infrastructure,"Python,TypeScript,JavaScript,Dockerfile",3,5,Apache-2.0,,False,True,main,False,6,2,4,0.667
EOPF-Explorer/landing-page,0,0,2025-07-10T15:44:50Z,2026-03-09T09:28:08Z,110,https://github.com/EOPF-Explorer/landing-page,,"JavaScript,CSS,Vue",2,14,,,True,True,main,False,7,2,5,0.714
EOPF-Explorer/titiler-eopf,10,2,2025-07-29T14:57:54Z,2026-03-09T17:54:11Z,159,https://github.com/EOPF-Explorer/titiler-eopf,TiTiler application for EOPF dataset,"Python,Jupyter Notebook,HTML,Go Template,Dockerfile",1,15,Apache-2.0,,True,False,main,False,6,3,3,0.5
EOPF-Explorer/data-model,22,3,2025-07-23T20:25:29Z,2026-03-10T15:14:01Z,215,https://github.com/EOPF-Explorer/data-model,EOPF Sentinel Zarr Explorer Data Model,Python,2,33,NOASSERTION,"esa,geospatial,geozarr,sentinel,zarr",False,True,main,False,7,3,4,0.571
EOPF-Explorer/data-pipeline,1,1,2025-10-08T01:58:28Z,2026-03-05T12:41:26Z,138,https://github.com/EOPF-Explorer/data-pipeline,,"Python,Jupyter Notebook,Makefile,Dockerfile",0,15,Apache-2.0,,False,True,main,False,6,3,3,0.5
EOPF-Explorer/narratives,0,3,2025-09-23T08:20:26Z,2026-03-09T15:51:17Z,50,https://github.com/EOPF-Explorer/narratives,,,0,1,,,False,True,main,False,5,2,3,0.6
Disasters-Learning-Portal/veda-disasters,0,2,2025-05-19T16:18:37Z,2026-02-17T22:00:32Z,491,https://github.com/Disasters-Learning-Portal/veda-disasters,Disasters Mapping Portal,"MDX,TypeScript,JavaScript,SCSS,Shell,CSS",1,68,MIT,,True,True,main,False,13,6,7,0.538
